Store Name,Store Number,Store Complex,Address,City,State,Zip,Phone Number
Tempe,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-820-4900
Tempe-Elliot Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-567-7040
Tucson-Irvington Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,520-524-0290
Tucson-1st Ave.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,520-407-5132
Tucson-Broadway Blvd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,520-546-6112
Tucson-River Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,520-204-1787
Tucson-Speedway Blvd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,520-325-1320
Yuma-4th Ave.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,928-388-6016
Yuma-Foothills,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,928-798-3426
Albany,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,510-345-0461
Alhambra,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,626-863-1096
Apple Valley,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,442-336-0327
Bakersfield-Panama Lane,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,661-529-3501
Bakersfield,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,661-617-8957
Brea,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,714-482-1000
Brentwood,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,925-308-1965
Burbank,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,818-566-4089
Camarillo,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,805-233-3755
Bressi Ranch,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,760-827-8916
