Store Name,Store Number,Store Complex,Address,City,State,Zip,Phone Number,chain,zip,NAME,median_income,total_population,median_age,pop_25plus,bachelors,masters,doctorate,college_plus,college_plus_pct
Phoenix – Thunderbird Rd. & 43rd Ave.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,602-960-4587,Sprouts,,,,,,,,,,,
Prescott Valley,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,928-379-8000,Sprouts,,,,,,,,,,,
Prescott,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,928-499-3350,Sprouts,,,,,,,,,,,
Queen Creek,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,623-385-3213,Sprouts,,,,,,,,,,,
Queen Creek-Gantzel Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,520-614-0304,Sprouts,,,,,,,,,,,
North Scottsdale,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-295-4789,Sprouts,,,,,,,,,,,
Scottsdale – Gainey Ranch,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-534-3620,Sprouts,,,,,,,,,,,
Scottsdale – Miller Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-941-6001,Sprouts,,,,,,,,,,,
Scottsdale – Shea Blvd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-551-9665,Sprouts,,,,,,,,,,,
Surprise – Prasada Pkwy,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-864-1358,Sprouts,,,,,,,,,,,
Surprise – Bell Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,623-544-3121,Sprouts,,,,,,,,,,,
Tempe,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-820-4900,Sprouts,,,,,,,,,,,
Tempe-Elliot Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,480-567-7040,Sprouts,,,,,,,,,,,
Tucson-Irvington Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,520-524-0290,Sprouts,,,,,,,,,,,
Tucson-1st Ave.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,520-407-5132,Sprouts,,,,,,,,,,,
Tucson-Broadway Blvd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,520-546-6112,Sprouts,,,,,,,,,,,
Tucson-River Rd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,520-204-1787,Sprouts,,,,,,,,,,,
Tucson-Speedway Blvd.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,520-325-1320,Sprouts,,,,,,,,,,,
Yuma-4th Ave.,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,928-388-6016,Sprouts,,,,,,,,,,,
Yuma-Foothills,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,928-798-3426,Sprouts,,,,,,,,,,,
Albany,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,510-345-0461,Sprouts,,,,,,,,,,,
Alhambra,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,626-863-1096,Sprouts,,,,,,,,,,,
Apple Valley,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,442-336-0327,Sprouts,,,,,,,,,,,
Bakersfield-Panama Lane,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,661-529-3501,Sprouts,,,,,,,,,,,
Bakersfield,,"ExploreRecipesArticles & ResourcesLocal StoriesCommunitySaveWeekly AdDeals of the MonthMember-only EventsDigital CouponsShopDietOrganicGluten-freePlant-BasedKetoPaleoNon-GMOCategoriesProduceDeli & Prepared FoodsBakeryBulkDairyMeat & SeafoodGrocery
						AislesFrozenVitamins &
						Body CareBeer & WineDiscover MoreCateringBuy
					It AgainSprouts BrandsNew ItemsExclusivesPrepared Foods",,,,,661-617-8957,Sprouts,,,,,,,,,,,
