Store Name,Store Number,Store Complex,Address,City,State,Zip,Phone Number
Whole Foods Market,buckhead,,77 West Paces Ferry Road Northwest,Atlanta,GA,30305,+1 404-324-4100
Whole Foods Market,midtownatlanta,,22 14th Street Northwest,Atlanta,GA,30309,+1-470-552-4201
Whole Foods Market,sandysprings,,5930 Roswell Road,Atlanta,GA,30328,+1 404-236-0810
Whole Foods Market,northsidebuckhead,,3535 Northside Parkway,Atlanta,GA,30327,+1 470-552-3040
Whole Foods Market,decatur,,1555 Church Street,Decatur,GA,30033,+1 470-237-7340
Whole Foods Market,duluth,,5945 State Bridge Road,Duluth,GA,30097,+1 678-514-2400
Whole Foods Market,kennesaw,,1300 Ernest West Barrett Parkway,Kennesaw,GA,30144,+1 770-578-4400
Whole Foods Market,merchantswalk,,1311 Johnson Ferry Road Northeast,Marietta,GA,30068,+1 678-996-9700
Whole Foods Market,savannah,,1821 East Victory Drive,Savannah,GA,31404,+1 912-358-5829
Whole Foods Market,honolulu,,4211 Waialae Avenue,Honolulu,HI,96816,+1 808-738-0820
Whole Foods Market,queen,,388 Kamakee Street,Honolulu,HI,96814,+1 808-379-1800
Whole Foods Market,maui,,70 Kaahumanu Avenue,Kahului,HI,96732,+1 808-872-3310
Whole Foods Market,kailua,,629 Kailua Road,Kailua,HI,96734,+1 808-263-6800
Whole Foods Market,westdesmoines,,4100 University Avenue,West Des Moines,IA,50266,+1-515-343-2600
Whole Foods Market,boise,,401 South Broadway Avenue,Boise,ID,83702,+1 208-287-4600
Whole Foods Market,northalsted,,3640 North Halsted Street,Chicago,IL,60613,+1 773-472-0400
Whole Foods Market,southloop,,1101 South Canal Street,Chicago,IL,60607,+1 312-435-4600
Whole Foods Market,onechicago,,3 West Chicago Avenue,Chicago,IL,60654,+1 312-932-9600
Whole Foods Market,streeterville,,255 East Grand Avenue,Chicago,IL,60611,+1 312-379-7900
Whole Foods Market,hydepark,,5118 South Lake Park Avenue,Chicago,IL,60615,+1 773-819-1600
Whole Foods Market,sauganash,,6020 North Cicero Avenue,Chicago,IL,60646,+1 773-205-1100
Whole Foods Market,westloop,,1 North Halsted Street,Chicago,IL,60661,+1 312-207-8400
Whole Foods Market,chicagoedgewater,,6009 Wholefood,Chicago,IL,60660,+1 773-506-7600
Whole Foods Market,lincolnpark,,1550 North Kingsbury Street,Chicago,IL,60642,+1 312-587-0648
Whole Foods Market,lakeviewnew,,3201 North Ashland Avenue,Chicago,IL,60657,+1 773-244-4200
Whole Foods Market,deerfield,,760 Waukegan Road,Deerfield,IL,60015,+1 847-444-1900
Whole Foods Market,elmhurst,,215 South Route 83,Elmhurst,IL,60126,+1 630-993-7600
Whole Foods Market,greenbayroad,,2748 Green Bay Road,Evanston,IL,60201,+1 847-424-5700
Whole Foods Market,evanston,,1640 Chicago Avenue,Evanston,IL,60201,+1 847-733-1600
Whole Foods Market,evergreenpark,,9600 South Western Avenue,Evergreen Park,IL,60805,+1 708-931-3030
Whole Foods Market,hinsdale,,500 East Ogden Avenue,Hinsdale,IL,60521,+1 630-986-8500
Whole Foods Market,kildeer,,20281 Rand Road,Kildeer,IL,60047,+1 847-726-4601
Whole Foods Market,naperville,,2607 West 75th Street,Naperville,IL,60540,+1 630-579-7700
Whole Foods Market,northbrook,,840 Willow Road,Northbrook,IL,60062,+1 847-205-5353
Whole Foods Market,orlandpark,,15260 South La Grange Road,Orland Park,IL,60462,+1 708-364-1350
Whole Foods Market,parkridge,,225 West Touhy Avenue,Park Ridge,IL,60068,+1 847-292-7100
Whole Foods Market,riverforest,,7245 Lake Street,River Forest,IL,60305,+1 708-366-1045
Whole Foods Market,schaumburg,,750 North Martingale Road,Schaumburg,IL,60173,+1 847-585-5800
Whole Foods Market,vernonhills,,851 North Milwaukee Avenue,Vernon Hills,IL,60061,+1 224-504-3990
Whole Foods Market,wheaton,,89 Danada Square East,Wheaton,IL,60189,+1 630-588-1500
Whole Foods Market,willowbrookkingery,,6300 Kingery Highway,Willowbrook,IL,60527,+1 630-655-5000
Whole Foods Market,carmel,,14598 Clay Terrace Boulevard,Carmel,IN,46032,+1 317-569-1517
Whole Foods Market,eightysixthst,,1300 East 86th Street,Indianapolis,IN,46240,+1 317-706-0900
Whole Foods Market,marketsquare,,320 East Market Street,Indianapolis,IN,46204,+1 317-559-9360
Whole Foods Market,mishawaka,,4230 Grape Road,Mishawaka,IN,46545,+1 574-247-5800
Whole Foods Market,schererville,,199 Indianapolis Boulevard,Schererville,IN,46375,+1 219-864-5400
Whole Foods Market,olathe,,14615 West 119th Street,Olathe,KS,66062,+1 913-764-5656
Whole Foods Market,overlandpark,,11900 Metcalf Avenue,Overland Park,KS,66213,+1 913-663-2951
Whole Foods Market,10504,,1423 North Webb Road,Wichita,KS,67206,+1 316-630-8484
Whole Foods Market,lexington,,4059 Finn Way,Lexington,KY,40517,+1 859-971-8600
Whole Foods Market,louisville,,4944 Shelbyville Road,St Matthews,KY,40207,+1 502-899-5545
Whole Foods Market,batonrouge,,7529 Corporate Boulevard,Baton Rouge,LA,70809,+1 225-218-0452
Whole Foods Market,ambassadorcaffery,,4247 Ambassador Caffery Parkway,Lafayette,LA,70508,+1 337-314-9653
Whole Foods Market,mandeville,,3450 Highway 190,Mandeville,LA,70471,+1 985-231-3328
Whole Foods Market,vets,,3420 Veterans Memorial Boulevard,Metairie,LA,70002,+1 504-888-8225
Whole Foods Market,broadstreet,,300 North Broad Street,New Orleans,LA,70119,+1 504-434-3364
Whole Foods Market,arabellastation,,5600 Magazine Street,New Orleans,LA,70115,+1 504-899-9119
Whole Foods Market,shreveport,,1380 East 70th Street,Shreveport,LA,71105,+1 318-462-9895
Whole Foods Market,andover,,40 Railroad Street,Andover,MA,01810,+1 978-749-6664
Whole Foods Market,arlington-ma,,808 Massachusetts Avenue,Arlington,MA,02476,+1 781-777-7200
Whole Foods Market,bedford,,170 The Great Road,Bedford,MA,01730,+1 781-275-8264
Whole Foods Market,10091,,255 Hartford Avenue,Bellingham,MA,02019,+1 508-966-3331
Whole Foods Market,beverly,,150 Brimbal Avenue,Beverly,MA,01915,+1 978-529-9151
Whole Foods Market,charlesriver,,181 Cambridge Street,Boston,MA,02114,+1 617-723-0004
Whole Foods Market,southend,,348 Harrison Avenue,Boston,MA,02118,+1 617-904-1000
Whole Foods Market,symphony,,15 Westland Avenue,Boston,MA,02115,+1 617-375-1010
Whole Foods Market,jamaicaplain,,413 Centre Street,Boston,MA,02130,+1 617-553-5400
Whole Foods Market,,,15 Washington Street,Brighton,MA,02135,+1-617-738-8187
Whole Foods Market,freshpond,,200 Alewife Brook Parkway,Cambridge,MA,02138,+1 617-491-0040
Whole Foods Market,riverstreet,,340 River Street,Cambridge,MA,02139,+1 617-876-6990
Whole Foods Market,cambridge,,115 Prospect Street,Cambridge,MA,02139,+1 617-492-0070
Whole Foods Market,charlestown,,27 Austin Street,Charlestown,MA,02129,+1 617-337-9700
Whole Foods Market,dedham,,300 Legacy Place,Dedham,MA,02026,+1 781-329-7100
Whole Foods Market,framingham,,575 Worcester Road,Framingham,MA,01702,+1 508-628-9525
Whole Foods Market,hadley,,327 Russell Street,Hadley,MA,01035,+1 413-586-9932
Whole Foods Market,hingham,,94 Derby Street,Hingham,MA,02043,+1 781-741-8050
Whole Foods Market,hyannis,,990 Iyannough Road,Hyannis,MA,02601,+1 508-418-5900
Whole Foods Market,lynnfield,,100 Market Street,Lynnfield,MA,01940,+1 781-776-4300
Whole Foods Market,medford,,2151 Mystic Valley Parkway,Medford,MA,02155,+1 781-395-4998
Whole Foods Market,melrose,,880 Main Street,Melrose,MA,02176,+1-781-606-3400
Whole Foods Market,newton,,916 Walnut Street,Newton,MA,02461,+1 617-969-1141
Whole Foods Market,newtonville,,647 Washington Street,Newton,MA,02458,+1 617-965-2070
Whole Foods Market,shrewsbury,,193 Boston Turnpike,Shrewsbury,MA,01545,+1 508-749-5520
Whole Foods Market,somerville,,45 Beacon Street,Somerville,MA,02143,+1 617-902-9300
Whole Foods Market,sudbury,,536 Boston Post Road,Sudbury,MA,01776,+1 508-358-7700
Whole Foods Market,swampscott,,331 Paradise Road,Swampscott,MA,01907,+1 781-592-2200
Whole Foods Market,wellesley,,442 Washington Street,Wellesley,MA,02482,+1 781-235-7262
Whole Foods Market,westford,,160 Littleton Road,Westford,MA,01886,+1 978-303-2900
Whole Foods Market,southweymouth,,35 Pleasant Street,Weymouth,MA,02190,+1 781-277-5200
Whole Foods Market,woburn,,400 Cambridge Road,Woburn,MA,01801,+1 781-376-9600
Whole Foods Market,,,200 Harker Place,,MD,21041,+1 410-573-1800
Whole Foods Market,harboreast,,711 South Central Avenue,Baltimore,MD,21202,+1 410-528-1640
Whole Foods Market,mountwashington,,1330 Smith Avenue,Baltimore,MD,21209,+1 410-532-6700
Whole Foods Market,bethesda,,5269 River Road,Bethesda,MD,20816,+1 301-984-4860
Whole Foods Market,friendshipheights,,4420 Willard Avenue,Chevy Chase,MD,20815,+1 301-657-1520
Whole Foods Market,columbia-md,,10275 Little Patuxent Parkway,Columbia,MD,21044,+1 240-865-1827
